idx,colorHex,DBA_Name,Addr1,Addr2,City,State,ZIP,Phone,URL,logo_filename,API_Name,count,,,,,,,,,,,
0,#00ACEC,ALBERTSONS,250 Parkcenter Blvd.,,Boise,ID,83706,(208) 395-6200,https://www.albertsons.com/,./logos/Albertsons.png,%25ALBERTSONS%25,,,,,83,,,,,,,
1, #000060,ALDI,1200 N. Kirk Rd.,,Batavia,IL,60510,,https://www.aldi.us/,./logos/Aldi.jpg,%25ALDI%25,,,,,8,,,,,,,14
2, #01743C,BARONS MARKET,12420 Kirkham Ct.,,Poway,CA,92064,(858) 218-2100,http://baronsmarket.com/,./logos/Barons.png,%25BARONS%25,,,,,7,,,,,,,
3,#16534C,BRISTOL FARMS,915 E. 230th St.,,Carson,CA,90745,(310) 233-4700,https://www.bristolfarms.com/,./logos/BristolFarms.png,%25BRISTOL%25,,,,,9,,,,,,,
4,#CD0000,CARNIVAL SUPERMARKET,3560 Ashford St,,San Diego,CA,92111,(858) 277-1505,http://carnivalmarket.com/,./logos/CarnivalMarket.png,%25CARNIVAL%25,,,,,8,,,,,,,
5, #E51736,COSTCO WHOLESALE,999 Lake Drive,,Issaquah,WA,92007,(425) 313-8100,https://wwwcostco.com/,./logos/CostCo.png,%25COSTCO%25,,,,,17,,,,,,,
6,#FFF000,FOOD 4 LESS,8014 Lower Sacramento Rd,,Stockton,CA,95210,(800) 576-4377,https://www.food4less.com/,./logos/Food4Less.png,%25FOOD%204%20LESS%25,,,,,11,,,,,,,
7,#888888,GELSONS MARKET,16400 Ventura Blvd,Suite 240,Encino,CA,91436,(818) 906-5700,https://www.gelsons.com/,./logos/Gelsons.png,%25GELSONS%25,,,,,9,,,,,,,
8, #B50037,GROCERY OUTLET,5650 Hollis Street,,Emeryville,CA,94608,(510) 845-1999,https://groceryoutlet.com/,./logos/GroceryOutlet.png,%25GROCERY%20OUTLET%25,,,,,19,,,,,,,
10,#F81625,KEILS FOOD STORES,7403 Jackson Drive,,San Diego,CA,92119,(619) 667-2750,http://keils.com/,./logos/Keils.png,%25KEILS%25,,,,,1,,,,,,,
9,#1C613C,LAZY ACRES,422 W Washington St,,Carson,CA,90745,(310) 233-4700,https://www.lazyacres.com/,./logos/LazyAcres.jpg,%25LAZY%20ACRES%25,,,,,4,,,,,,,
11,#CD314D,MAJOR MARKET,1855 S Centre City Parkway,,Escondido,CA,92025,(760) 741-7827,http://majormarketgrocery.com/,./logos/MajorMarket.jpg,%25MAJOR%20MARKET%25,,,,,6,,,,,,,
12,#0E5C42,NORTHGATE SUPERMARKET,5403 University Ave,,San Diego,CA,92105,(619) 265-9701,https://www.northgatemarket.com/,./logos/NorthgateMarket.jpg,%25NORTHGATE %25,,,,,14,,,,,,,
13,#EA3430,RALPHS,1100 W Artesia Blvd.,,Compton,CA,90220,(800) 576-4377,https://www.ralphs.com,./logos/Ralphs.png,%25RALPHS%25,,,,,28,,,,,,,
14,#004B8E,SAMS CLUB,702 SW 8th St.,,Bentonville,AR,72716,(479) 273-4000,https://www.samsclub.com/,./logos/SamsClub.jpg,%25SAMS%20CLUB%25,,,,,1,,,,,,,
15, #CC1D2B,SMART & FINAL,600 Citadel Drive,,Commerce,CA,90040,(323) 869-7500,https://www.smartandfinal.com/,./logos/SmartFinal.jpg,%25SMART%25,,,,,47,,,,,,,
16,#5E9164,SPROUTS FARMERS MARKET,5455 E. High St.  #100,,Phoenix,AZ,85054,,https://www.sprouts.com,./logos/Sprouts.png,%25SPROUTS%25,,,,,41,,,,,,,
17,#C61D21,STATER BROS MARKETS,301 S. Tippecanoe Ave.,,San Bernardino,CA,92408,(855)782-8377,https://www.staterbros.com/,./logos/StaterBros.jpg,%25STATER%20%25,,,,,11,,,,,,,
18,#D13D3F,TARGET,1000 Nicollet Mall,,Minneapolis,MN,55403,(612) 304-6073,https://www.target.com/,./logos/Target.png,%25TARGET%25,,,,,24,,,,,,,
19, #C81D02,TRADER JOES,800 S Shamrock Ave. ,,Monrovia,CA,91016,(626) 599-3700,https://www.traderjoes.com,./logos/TraderJoes.png,%25TRADER%20JOES%25,,,,,17,,,,,,,
20,#F11A21,VONS,5918 Stoneridge Mall Rd.,,Pleasanton,CA,94588,(925) 467-3000,https://www.vons.com,./logos/Vons.png,%25VONS%25,,,,,66,,,,,,,
21,#037BBD,WALMART,702 SW 8th St.,,Bentonville,AR,72716,(479) 273-4000,https://www.walmart.com,./logos/Walmart.png,%25WALMART%25,,,,,24,,,,,,,
22,#00684A,WHOLE FOODS,550 Bowie Street,,Austin,TX,78703,(512) 477-4455,https://www.wholefoodsmarket.com/,./logos/WholeFoods.png,%25WHOLE%20FOODS%25,,,,,9,,,,,,,
23,#ff00ff,INDEPENDENT,,,,,,,,,%25INDEPENDENT%25,,,,,,,,,,,,
