OBJECTID,Zipcode,COMMUNITY,ShapeSTArea,ShapeSTLength
1,92101,San Diego,254892794.140625,98792.5328471483
2,92102,San Diego,125809373.479492,63075.6907638396
3,92103,San Diego,101237515.571289,57977.9908514446
4,92104,San Diego,92477083.6015625,44329.0732498746
5,92105,San Diego,153314149.823242,65485.4811202825
6,92106,San Diego,227383939.18457,91488.1895033997
7,92107,San Diego,81380105.3613281,56073.2617494891
8,92108,San Diego,139083450.541992,88028.2417333876
9,92109,San Diego,311430770.108398,97898.6784697434
10,92110,San Diego,133361379.929688,85372.5021337849
11,92111,San Diego,245052858.745117,96441.2737021158
12,92113,San Diego,139986079.946289,65765.2790160633
13,92114,San Diego,229373014.902344,78972.8173927905
14,92115,San Diego,178147078.654297,87746.4039347552
15,92116,San Diego,91169404.5722656,56719.4110381039
16,92117,San Diego,241904687.608398,78195.2174125217
17,92118,Coronado,264543163.851562,110180.855844132
18,92119,San Diego,158798695.806641,55383.642485428
19,92120,San Diego,179408626.545898,66574.7079247034
20,92121,San Diego,338718491.132812,117747.270174408
